"","ï..time","paintmark","diet","colony","diet_pairing","date","hours","mins","secs","QUESTIONABLE.DATA","X","YES.COUNT","NO.COUNT","X.1","protein"
"1","15:08","bpp","yellow","NS163","1619","Sep12",0,15,8,"no",NA,"1218",2452,NA,"High"
"2","15:57","pyw","yellow","NS163","1619","Sep12",0,15,57,"no",NA,"",NA,NA,"High"
"3","16:15","pyy","orange","NS163","1619","Sep12",0,16,15,"no",NA,"",NA,NA,"Low"
"4","16:22","bpp","yellow","NS163","1619","Sep12",0,16,22,"no",NA,"",NA,NA,"High"
"5","17:35","pyw","yellow","NS163","1619","Sep12",0,17,35,"no",NA,"",NA,NA,"High"
"6","18:01","poo","yellow","NS163","1619","Sep12",0,18,1,"no",NA,"",NA,NA,"High"
"7","18:19","bpp","yellow","NS163","1619","Sep12",0,18,19,"no",NA,"",NA,NA,"High"
"8","18:50","pyy","yellow","NS163","1619","Sep12",0,18,50,"no",NA,"",NA,NA,"High"
"9","18:57","pyw","yellow","NS163","1619","Sep12",0,18,57,"no",NA,"",NA,NA,"High"
"10","20:06","pyy","yellow","NS163","1619","Sep12",0,20,6,"no",NA,"",NA,NA,"High"
"11","20:27","pyw","yellow","NS163","1619","Sep12",0,20,27,"no",NA,"",NA,NA,"High"
"12","21:03","pbw","orange","NS163","1619","Sep12",0,21,3,"no",NA,"",NA,NA,"Low"
"13","21:09","pyw","yellow","NS163","1619","Sep12",0,21,9,"no",NA,"",NA,NA,"High"
"14","21:25","pyy","yellow","NS163","1619","Sep12",0,21,25,"no",NA,"",NA,NA,"High"
"15","21:31","bpp","yellow","NS163","1619","Sep12",0,21,31,"no",NA,"",NA,NA,"High"
"16","21:39","gpw","yellow","NS163","1619","Sep12",0,21,39,"no",NA,"",NA,NA,"High"
"17","22:06","byw","yellow","NS163","1619","Sep12",0,22,6,"no",NA,"",NA,NA,"High"
"18","22:25","ggw","orange","NS163","1619","Sep12",0,22,25,"no",NA,"",NA,NA,"Low"
"19","23:10","ybw","yellow","NS163","1619","Sep12",0,23,10,"no",NA,"",NA,NA,"High"
"20","23:22","pyy","yellow","NS163","1619","Sep12",0,23,22,"no",NA,"",NA,NA,"High"
"21","23:22","gyy","yellow","NS163","1619","Sep12",0,23,22,"no",NA,"",NA,NA,"High"
"22","23:31","pyw","yellow","NS163","1619","Sep12",0,23,31,"no",NA,"",NA,NA,"High"
"23","23:35","gpy","yellow","NS163","1619","Sep12",0,23,35,"no",NA,"",NA,NA,"High"
"24","23:56","gpg","orange","NS163","1619","Sep12",0,23,56,"no",NA,"",NA,NA,"Low"
"25","24:09:00","oww","orange","NS163","1619","Sep12",0,24,9,"no",NA,"",NA,NA,"Low"
"26","24:24:00","ywb","yellow","NS163","1619","Sep12",0,24,24,"no",NA,"",NA,NA,"High"
"27","24:37:00","gyy","yellow","NS163","1619","Sep12",0,24,37,"no",NA,"",NA,NA,"High"
"28","24:45:00","pyw","yellow","NS163","1619","Sep12",0,24,45,"no",NA,"",NA,NA,"High"
"29","25:10:00","gyp","yellow","NS163","1619","Sep12",0,25,10,"no",NA,"",NA,NA,"High"
"30","25:18:00","woo","yellow","NS163","1619","Sep12",0,25,18,"no",NA,"",NA,NA,"High"
"31","25:38:00","pyw","yellow","NS163","1619","Sep12",0,25,38,"no",NA,"",NA,NA,"High"
"32","25:41:00","ywb","yellow","NS163","1619","Sep12",0,25,41,"no",NA,"",NA,NA,"High"
"33","25:55:00","gpw","orange","NS163","1619","Sep12",0,25,55,"no",NA,"",NA,NA,"Low"
"34","25:56:00","pyy","yellow","NS163","1619","Sep12",0,25,56,"no",NA,"",NA,NA,"High"
"35","26:05:00","oyy","yellow","NS163","1619","Sep12",0,26,5,"no",NA,"",NA,NA,"High"
"36","26:28:00","pyw","yellow","NS163","1619","Sep12",0,26,28,"no",NA,"",NA,NA,"High"
"37","26:35:00","gpg","yellow","NS163","1619","Sep12",0,26,35,"no",NA,"",NA,NA,"High"
"38","26:40:00","pbw","yellow","NS163","1619","Sep12",0,26,40,"no",NA,"",NA,NA,"High"
"39","26:59:00","ggg","yellow","NS163","1619","Sep12",0,26,59,"no",NA,"",NA,NA,"High"
"40","27:18:00","pyw","yellow","NS163","1619","Sep12",0,27,18,"no",NA,"",NA,NA,"High"
"41","27:20:00","gyp","yellow","NS163","1619","Sep12",0,27,20,"no",NA,"",NA,NA,"High"
"42","27:25:00","ywb","yellow","NS163","1619","Sep12",0,27,25,"no",NA,"",NA,NA,"High"
"43","27:35:00","gpg","yellow","NS163","1619","Sep12",0,27,35,"no",NA,"",NA,NA,"High"
"44","27:41:00","yoo","yellow","NS163","1619","Sep12",0,27,41,"no",NA,"",NA,NA,"High"
"45","28:16:00","oyy","yellow","NS163","1619","Sep12",0,28,16,"no",NA,"",NA,NA,"High"
"46","28:21:00","ywb","yellow","NS163","1619","Sep12",0,28,21,"no",NA,"",NA,NA,"High"
"47","28:25:00","gpg","yellow","NS163","1619","Sep12",0,28,25,"no",NA,"",NA,NA,"High"
"48","28:38:00","pww","yellow","NS163","1619","Sep12",0,28,38,"no",NA,"",NA,NA,"High"
"49","29:23:00","woo","yellow","NS163","1619","Sep12",0,29,23,"no",NA,"",NA,NA,"High"
"50","29:45:00","gbp","yellow","NS163","1619","Sep12",0,29,45,"no",NA,"",NA,NA,"High"
"51","30:26:00","pyw","yellow","NS163","1619","Sep12",0,30,26,"no",NA,"",NA,NA,"High"
"52","30:27:00","pbw","yellow","NS163","1619","Sep12",0,30,27,"no",NA,"",NA,NA,"High"
"53","30:27:00","ggg","yellow","NS163","1619","Sep12",0,30,27,"no",NA,"",NA,NA,"High"
"54","30:56:00","gyw","orange","NS163","1619","Sep12",0,30,56,"no",NA,"",NA,NA,"Low"
"55","31:09:00","ywb","yellow","NS163","1619","Sep12",0,31,9,"no",NA,"",NA,NA,"High"
"56","31:21:00","gpw","yellow","NS163","1619","Sep12",0,31,21,"no",NA,"",NA,NA,"High"
"57","32:11:00","ggg","yellow","NS163","1619","Sep12",0,32,11,"no",NA,"",NA,NA,"High"
"58","32:15:00","woo","yellow","NS163","1619","Sep12",0,32,15,"no",NA,"",NA,NA,"High"
"59","32:17:00","gyp","yellow","NS163","1619","Sep12",0,32,17,"no",NA,"",NA,NA,"High"
"60","32:18:00","pyw","yellow","NS163","1619","Sep12",0,32,18,"no",NA,"",NA,NA,"High"
"61","32:51:00","gbw","yellow","NS163","1619","Sep12",0,32,51,"no",NA,"",NA,NA,"High"
"62","32:57:00","gbp","yellow","NS163","1619","Sep12",0,32,57,"no",NA,"",NA,NA,"High"
"63","33:25:00","oyy","yellow","NS163","1619","Sep12",0,33,25,"no",NA,"",NA,NA,"High"
"64","33:32:00","ywb","yellow","NS163","1619","Sep12",0,33,32,"no",NA,"",NA,NA,"High"
"65","33:43:00","ggw","yellow","NS163","1619","Sep12",0,33,43,"no",NA,"",NA,NA,"High"
"66","33:43:00","gbw","yellow","NS163","1619","Sep12",0,33,43,"no",NA,"",NA,NA,"High"
"67","33:48:00","pyw","yellow","NS163","1619","Sep12",0,33,48,"no",NA,"",NA,NA,"High"
